Country,GDPPC,Literacy,InfantMortality,Agriculture,Population,NetMigration
Saudi Arabia,20482,0.947,13.6,0.032,31540000,-0.5
Senegal,911,0.577,50.3,0.153,15130000,-1.5
Serbia,5144,0.981,5.9,0.097,7098000,0
Seychelles,15476,0.918,10.2,0.024,92900,1
Sierra Leone,693,0.481,70,0.515,6453000,-2.4
Singapore,52889,0.968,2.4,0,5535000,13.6
Slovakia,15963,0.996,5.2,0.044,5424000,0.1
Slovenia,20713,0.997,4,0.022,2064000,0.4
Solomon Islands,1982,0.841,15.2,0.377,583591,-1.7
Somalia,552,0.378,96.6,0.602,10790000,-7.5
South Africa,5692,0.943,32,0.025,54960000,-0.9
South Korea,27222,0.979,3,0.026,50620000,2.6
Spain,25832,0.981,3.3,0.025,46560000,8
Sri Lanka,3926,0.926,8.6,0.128,20970000,-1.3
Suriname,8984,0.956,25.3,0.099,542975,0.6
Swaziland,3155,0.875,50.4,0.06,1287000,0
Sweden,50273,0.99,2.6,0.014,9799000,5.4
Switzerland,80215,0.99,3.6,0.008,8287000,4.7
Syria,2080,0.864,15.2,0.169,18500000,-2.1
Tajikistan,926,0.998,32.8,0.272,8482000,-1.1
Tanzania,865,0.706,41.2,0.245,53470000,-0.5
Thailand,5816,0.967,9.4,0.105,67960000,0
Togo,548,0.665,43.7,0.467,7305000,0
Tunisia,3873,0.818,21.6,0.094,11110000,-1.7
Turkey,9130,0.95,18.2,0.08,78670000,-1.2
Turkmenistan,6948,0.997,35.5,0.146,537400,-1.8
Uganda,676,0.784,57.6,0.27,39030000,-0.7
Ukraine,2115,0.998,8,0.095,45200000,0
United Arab Emirates,40438,0.938,10.3,0.008,9157000,11.3
United States,55837,0.86,5.8,0.011,321400000,3.9
Uruguay,15574,0.985,8.5,0.079,3432000,-0.9
Uzbekistan,2132,0.996,18.6,0.193,31300000,-2.3
Venezuela,12265,0.963,12.5,0.039,31110000,-1.2
Vietnam,2111,0.945,17.8,0.17,91700000,-0.3
Yemen,1408,0.701,47.4,0.147,26830000,0.7
Zambia,1308,0.634,62.9,0.093,16210000,0
Zimbabwe,890,0.865,25.9,0.132,15600000,0
