Late-demographic dividend,"Life expectancy at birth, total (years)",75.74518596,75.99540149
Serbia,"Life expectancy at birth, total (years)",75.68780488,76.08780488
Malaysia,"Life expectancy at birth, total (years)",75.649,75.828
East Asia & Pacific,"Life expectancy at birth, total (years)",75.63562149,75.86574762
North Macedonia,"Life expectancy at birth, total (years)",75.498,75.589
Brunei Darussalam,"Life expectancy at birth, total (years)",75.45,75.585
Romania,"Life expectancy at birth, total (years)",75.3097561,75.3097561
Upper middle income,"Life expectancy at birth, total (years)",75.278622,75.52253325
Brazil,"Life expectancy at birth, total (years)",75.23,75.456
Kuwait,"Life expectancy at birth, total (years)",75.224,75.311
Vietnam,"Life expectancy at birth, total (years)",75.172,75.241
Latin America & Caribbean,"Life expectancy at birth, total (years)",75.11995716,75.28021575
Latin America & the Caribbean (IDA & IBRD countries),"Life expectancy at birth, total (years)",75.02873523,75.19246541
Latin America & Caribbean (excluding high income),"Life expectancy at birth, total (years)",74.92203333,75.08345444
Mexico,"Life expectancy at birth, total (years)",74.917,74.947
Bulgaria,"Life expectancy at birth, total (years)",74.81219512,74.81219512
East Asia & Pacific (IDA & IBRD countries),"Life expectancy at birth, total (years)",74.79361457,75.0333589
Saudi Arabia,"Life expectancy at birth, total (years)",74.761,74.874
East Asia & Pacific (excluding high income),"Life expectancy at birth, total (years)",74.75561418,74.9949516
Honduras,"Life expectancy at birth, total (years)",74.701,74.898
Lithuania,"Life expectancy at birth, total (years)",74.67073171,74.67073171
Armenia,"Life expectancy at birth, total (years)",74.64,74.797
Latvia,"Life expectancy at birth, total (years)",74.5804878,74.6804878
Mauritius,"Life expectancy at birth, total (years)",74.39487805,74.51463415
Seychelles,"Life expectancy at birth, total (years)",74.3097561,74.3
Belize,"Life expectancy at birth, total (years)",74.219,74.365
Jordan,"Life expectancy at birth, total (years)",74.184,74.292
Jamaica,"Life expectancy at birth, total (years)",74.175,74.267
Nicaragua,"Life expectancy at birth, total (years)",73.86,74.068
Paraguay,"Life expectancy at birth, total (years)",73.836,73.992
Belarus,"Life expectancy at birth, total (years)",73.82682927,74.12926829
Middle East & North Africa,"Life expectancy at birth, total (years)",73.71082025,73.90103351
West Bank and Gaza,"Life expectancy at birth, total (years)",73.589,73.74
Guatemala,"Life expectancy at birth, total (years)",73.541,73.81
Europe & Central Asia (IDA & IBRD countries),"Life expectancy at birth, total (years)",73.50378222,73.80835432
Dominican Republic,"Life expectancy at birth, total (years)",73.471,73.689
Caribbean small states,"Life expectancy at birth, total (years)",73.39595639,73.51749249
"Bahamas, The","Life expectancy at birth, total (years)",73.329,73.554
Georgia,"Life expectancy at birth, total (years)",73.207,73.414
Middle East & North Africa (excluding high income),"Life expectancy at birth, total (years)",73.1982111,73.39427025
Middle East & North Africa (IDA & IBRD countries),"Life expectancy at birth, total (years)",73.19354707,73.39013107
Trinidad and Tobago,"Life expectancy at birth, total (years)",73.1,73.245
Europe & Central Asia (excluding high income),"Life expectancy at birth, total (years)",73.05881307,73.39917233
IBRD only,"Life expectancy at birth, total (years)",72.95836486,73.19550862
Samoa,"Life expectancy at birth, total (years)",72.895,73.046
El Salvador,"Life expectancy at birth, total (years)",72.644,72.872
Azerbaijan,"Life expectancy at birth, total (years)",72.493,72.693
