,Country,Year,CO2 Emmissions (Kilo Ton),Expenditure on defense,Expenditure on economic affairs,Expenditure on education,Expenditure on environment protection,Expenditure on general public services,Expenditure on health,Expenditure on housing & community amenities,Expenditure on public order & safety,"Expenditure on recreation, culture, & religion",Expenditure on social protection
11,Albania,2012,4910.113,3.36459092559053,12.7949135098585,11.6269949410275,0.124346162400934,19.2700829913816,9.86364261045901,6.01203558651293,5.58416214737468,1.26309939117122,30.0961290979273
12,Albania,2011,5240.143,3.34494701887437,14.1980639874626,11.1068433591533,0.185978866588984,20.5774669900822,9.27542251930438,6.24145940775739,5.53056374300326,1.20586322875569,28.3333908790178
13,Albania,2010,4598.418,3.61728696690827,14.295138040557,11.485734451774,0.037462334066292,19.7190324945028,8.86554279664468,6.34742242853653,5.24608410022532,1.0641474604338,27.7145261557673
14,Albania,2008,4374.731,3.40580016908109,22.8246515195295,10.7907087218161,0.0577530607225356,20.3772527926595,7.60096205034124,4.70522318710067,4.61074122560039,1.13799475962007,24.5023944692901
15,Albania,2007,3927.357,4.02462692801843,18.1492268259956,11.0750175496421,0.030736636412457,19.042570714206,8.43992796887516,4.43687645297166,5.31210292167944,1.12711608812803,27.1088031291296
16,Albania,2006,3898.021,4.42280875027065,15.2282009022408,10.7679859569293,0.0,21.5727127015723,8.24125759007432,5.64796204020895,6.2635800211516,1.26675222714221,26.5887398104097
17,Albania,2005,4253.72,3.60581622278706,11.2867961942622,11.3716508755551,0.0,24.6586154325117,9.31341061107304,6.05113059590345,6.10122132026769,1.34886412630922,26.2624946213306
18,Armenia,2013,5496.833,15.3290451095954,12.2912651102813,8.7497508441792,1.34049443232767,18.8566114061854,5.4833096521036,2.67500414981889,7.70461668199534,2.25361066514991,25.3162919483632
19,Australia,2014,361261.839,4.57732578904825,11.6893126235758,14.9941811482876,2.58302330787621,11.9312948269468,18.5112967751086,1.41139196161096,4.5713445905186,2.22603120134936,27.5047977756777
20,Australia,2013,372266.506,4.54379195593551,11.4713623845315,15.5233375408801,2.6435825348557,11.4132695507488,18.8421596190258,1.41950915141431,4.67970049916805,2.27530265649205,27.1879841069482
21,Australia,2012,388126.281,4.54717827360008,11.6322147553118,15.3571415548757,2.56848753131301,11.8052339679194,18.931109547233,1.4590861522642,4.73824690880848,2.33657979850281,26.6249038275715
22,Australia,2011,391818.95,4.73144416725303,11.212489508402,17.0881720680224,2.28653838325686,11.0229138438695,18.3710061660551,1.77964639680241,4.80471574311528,2.41776816330645,26.285305559917
23,Australia,2010,390861.863,4.92874326816222,12.1018395268276,17.0788199999186,2.02046722923052,10.6762978250516,17.823138389895,2.00011397820574,4.77548328794558,2.43262056248245,26.1626794647909
24,Australia,2009,394792.887,4.86139202855443,11.8176410145476,14.7641555351252,1.78703152885187,9.73122059380239,17.5741712184306,1.89497593423828,4.72056676220864,2.32134551944189,30.5277161862528
25,Australia,2008,385904.079,4.79181158700189,12.4346616317202,15.0429792308457,1.75121733081586,10.3396104541389,18.3029414687469,2.04884229355063,5.07776011129882,2.4987578256981,27.711418066183
26,Australia,2007,372090.49,5.06486311433947,11.8892067884796,15.0610358292763,1.74877486731632,10.8028466436316,17.9250762111484,1.84459081505113,5.078512872257,2.47676195625119,28.1080632599369
27,Australia,2006,365346.877,4.9036502756378,11.5997454309801,15.5906088442392,1.55589330187062,10.7831484608164,18.0255789556277,1.80000058120781,4.83187111135651,2.49977478197442,28.4097282562894
28,Australia,2005,350172.831,4.72978645993675,11.2417166543835,15.7886553537389,1.49325671141461,10.8688689248987,17.9862491020869,1.7351879320478,4.77425453776521,2.41122710127216,28.9707972224554
29,Australia,2004,342699.485,4.65109299184633,11.8086472245844,15.4839677855035,1.35894485851967,10.5971020292465,17.1383789371884,1.72510963266803,4.8958698080803,2.52480282793924,29.8160839044237
30,Australia,2003,336271.234,5.14783281179512,11.7410544858254,15.5881447322253,1.40564693414297,11.4915038202376,17.0338916298487,1.65985205977759,4.78227868042477,2.41852904741105,28.7316238336997
31,Australia,2002,341353.696,4.64636865656006,11.919157151195,15.5220664162464,1.32518220319959,11.8959608506308,16.6957243980186,1.66751470346149,4.6620822795229,2.43374088984002,29.2318283174451
32,Australia,2001,324844.862,4.57440809486367,11.3385276434193,15.1369661734455,1.23861262678008,13.1855258246166,16.1011699111249,1.55591031475613,4.51047201505873,2.59596368748362,29.7624437084515
33,Australia,2000,329443.28,4.64972594155185,11.4830931092615,14.4271251665975,1.27629151698633,14.5074450338491,16.4421829351174,1.91664386523915,4.4273016937783,2.45681703840349,28.4133736992153
34,Austria,2014,58712.337,1.10536359388068,14.0812630931919,9.42169883622377,0.868010308274402,12.9154921996975,15.1211811469844,0.65976876711619,2.5388318515614,2.32852686720545,40.9598633358643
35,Austria,2013,62485.68,1.20459408996249,12.2869255293537,9.73317887917109,0.871736276338455,13.8845054283913,15.0735978630092,0.674223289888015,2.56051927613791,2.42841118981397,41.2823021950488
36,Austria,2012,62272.994,1.16057465751996,12.3558296731399,9.76944767773454,0.937289572097736,14.1088895784757,15.0175762875888,0.723301643683391,2.61418147608926,2.44891776431584,40.8639916693548
37,Austria,2011,65019.577,1.22354716975387,12.0804247359371,9.80373425751294,0.954487440168511,14.3755105090733,15.0520577325541,0.713426617775779,2.60213495790427,2.48462074072016,40.710062181805
38,Austria,2010,67502.136,1.21930282760488,12.3689119898549,9.69633282200473,1.08452655084324,14.4078267740162,14.9099691396342,0.729203781551095,2.58112040539351,2.43981639318722,40.562995721931
39,Austria,2009,62731.369,1.31030770464403,14.2334706358159,9.45890149825973,1.01398538219516,14.1772824396969,14.5219929717813,0.785959561346251,2.59652740486347,2.56874839282018,39.3328175782502
40,Austria,2008,69027.608,1.79897450890918,12.6872825988944,9.72389205702091,0.922334010071836,14.3841861786863,15.0752928510729,0.757546362963186,2.66763623347205,2.68694787291889,39.2959073259903
41,Austria,2007,69735.339,1.53609482352879,12.0083958452123,9.52664781494426,0.94101319403366,15.2449335966206,14.9674565405168,0.790606609340073,2.64011710590091,2.88508543101171,39.4596561994043
42,Austria,2006,72162.893,1.41870888253999,12.6839200008607,9.53098874077669,0.975002958657812,15.2739309043031,14.563697213,0.733635839863712,2.69957213541638,2.65808043765134,39.4624554670988
43,Austria,2005,74216.413,1.53114975424199,12.7014334644972,9.40018339678868,1.01002302515014,15.0777941562519,14.5539860523822,0.829084163345961,2.68266923462237,2.60571840155853,39.6079660562609
44,Austria,2004,72390.247,1.54220629360301,15.9646003293765,9.15804658536465,0.935964509553889,13.9967262359006,14.0060807267947,0.812963724268996,2.69252403857989,2.55739934075456,38.3334959086411
45,Austria,2003,72195.896,1.6085490706922,10.1209800700796,10.2611612263589,1.05699911227307,15.0328051202223,14.4712464344962,1.03906259675419,2.79019390729678,2.65178197049094,40.9672289161905
46,Austria,2002,67073.097,1.53759667744255,9.71065046788369,10.1533944716582,0.960240704028822,15.8155088219951,14.3331069463757,1.02205576665389,2.80079436206475,2.71194440434788,40.9547073775494
47,Austria,2001,65888.656,1.60002590447354,10.2015143323489,10.1083006939621,0.949122923893135,16.5609298785896,13.7514092414032,1.10285111111878,2.78657111384016,2.71475874645351,40.2245072067608
48,Austria,2000,62283.995,1.69556425768409,9.6650966997614,10.2144518738752,0.87121447071164,16.0506120206076,13.9821243393573,1.20183103076115,2.78276978551137,2.74848505315236,40.7878504685779
49,Azerbaijan,2014,37487.741,7.24723943031556,38.4456052302022,7.69959668779254,0.0714248301279457,16.5434191542348,3.26030541257363,2.14893505578279,5.45304769750156,1.44421006518706,17.6862164362819
50,Azerbaijan,2013,35643.24,7.09061927533129,43.1874955392192,7.11869245592749,0.0675659600789856,10.2376704018271,3.0095401232365,2.05457616634549,5.16927176266267,1.34798848523779,20.7165798301335
51,Azerbaijan,2012,35555.232,7.17837594738106,37.7480566869899,7.73798876685866,0.0643938038850928,13.8201368623864,3.18340479682733,2.36315039019579,4.93225874043675,1.27101103382719,21.7012229712119
52,Azerbaijan,2011,33446.707,7.90251687663098,41.9627864574484,7.77655000767519,0.0708929820634897,10.6039496179396,2.96988864528784,1.94984995295284,4.32095655139038,1.15889519439324,21.2837137142181
